SITE_ADDRESS,ESTAB_NAME,ACTIVITY_NR,CITATION_ID,INITIAL_PENALTY,CURRENT_PENALTY,ISSUANCE_DATE
401 S 2ND STREET,SCHNABEL FOUNDATION COMPANY,1,2,15370,15370.0,28-APR-23
401 S 2ND STREET,THE MURPHY ELEVATOR CO.,1,3,15626,15626.0,21-FEB-23
401 SOUTH SPRING ST. STRATTON BUILDING,IL SECRETARY OF STATE - PHYSICAL SERVICES DEPT.,1,2,0,0.0,11-JAN-19
4050 NORTH COLOR PLANT RD,"SOLOMON COLORS, INC.",2,7,61090,28162.0,27-AUG-20
4050 WATER WORKS RD,"EXPRESS SERVICES, INC. DBA EXPRESS EMPLOYMENT PROFESSIONALS",1,1,9012,9012.0,11-AUG-20
4101 W ILES AVE CONCORDIA VILLAGE,ACOSTA-ANGELI CONSTRUCTION,1,5,12874,7725.0,12-JAN-22
4319 YUCAN DRIVE,BENJIE HOLMES,1,2,6940,4164.0,02-DEC-20
4640 ASH GROVE DR.,"WALKER BUILDERS, LLC",1,3,8084,8084.0,20-JUL-21
4840 JEFFORY STREET,CAVALIER CARTAGE CO.,1,4,10922,6500.0,10-AUG-21
501 S. GRAND AVE.,"BRE SOGRAND, INC.",1,1,5801,2905.0,28-JUN-22
5230 S 6TH STREET ROAD,LINCOLN PRAIRIE BEHAVIORAL HEALTH CENTER,1,2,12288,7988.0,16-DEC-21
525 S. MARTIN LUTHER KING DR.,"SPRINGFIELD CARE CENTER, LLC",1,2,9557,6689.0,27-APR-21
525 SOUTH MARTIN LUTHER KING JUNIOR DRIVE,"AVENUES AT ARCADIA SPRINGFIELD, LLC",1,1,0,0.0,06-SEP-22
531 EAST LAUREL STREET,"BRAHLER TIRE MART, INC.",1,1,0,0.0,23-MAY-19
580 NORTH ST.,"CAST INDUSTRIES, INC.",4,10,47880,26614.8,28-JAN-21
625 E ST. JOSEPH ST.,"HEARTLAND HEATING AND COOLING, INC.",1,3,7388,5171.6,24-MAY-19
701 N FIRST STREET,"THORNBURGH ABATEMENT, INC.",1,2,18564,14282.0,29-OCT-19
701 SOUTH 4TH STREET,"HAROLD O'SHEA BUILDERS, INC.",1,3,40482,31988.0,02-APR-20
701 W MASON ST,LUIS SANCHEZ,1,2,7502,7502.0,05-JUL-19
702 N. LINCOLN AVE,IL DEPT. OF TRANSPORTATION - DIV. OF HIGHWAYS,1,3,0,0.0,30-MAY-19
800 E CARPENTER ST,ST. JOHN'S HOSPITAL OF THE HOSPITAL SISTERS OF THE THIRD ORDER OF ST. FRANCIS,1,1,8287,5800.9,09-SEP-22
801 SANGAMON AVE,"NORTH AMERICAN MIDWAY ENTERTAINMENT-ASTRO AMUSEMENT, LLC",1,5,23282,13969.0,14-NOV-18
908 S MARTIN LUTHER KING JR DR,SMITH GENERAL CONTRACTING INC.,1,1,63812,63812.0,18-JAN-22
950 S LINCOLN,RAMIRO PEREZ SEGURA,1,7,19345,11698.0,28-JUL-22
"993 CLOCKTOWER DRIVE, SUITE D","ARENA FOOD SERVICE, INC.",1,1,1327,664.0,17-OCT-19
CORNER 4TH AND CARPENTER STREET,O'DELL TRUCKING INCORPORATED,1,1,5398,1500.0,21-APR-20
CORNER OF 11TH AND STEVENSON,"ED RUTHERFORD ROOFING, INC.",1,6,7458,5753.0,16-APR-19
CORNER OF E. SANGAMON AND 17TH STREET,BRANDON TEDRICK,1,2,15004,10250.0,12-MAR-19
